title,Make,Model,Year,mileage,Transmission,City,Color,Price,Image,mileage_numerical,price_numerical
Used Renault Logan 2013 for sale Ain Shams,Renault,Logan,2013,"161,000 Km",manual,Ain Shams,Dark blue,"275,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6904187/full_up_a0cc9d3238b39bfdef305dbaeeeba559.jpg"")",161000.0,275000.0
Used Renault Logan 2015 for sale Gharbia,Renault,Logan,2015,"243,333 Km",manual,Gharbia,Red,"360,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2024/12/19/6860903/full_up_249c7e122155b533237f747f6111699c.jpg"")",243333.0,360000.0
Used Renault Logan 2016 for sale Alexandria,Renault,Logan,2016,"171,000 Km",automatic,Alexandria,Dark red,"380,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/06/6900435/full_up_373196eee69a372f4f891c9ee852a9ce.jpg"")",171000.0,380000.0
Used Renault Logan 2017 for sale El Haram,Renault,Logan,A/T F/O,2017,"170,000 Km",automatic,El Haram,"500,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/06/6900503/full_up_92a620f55a66a9e5d5589857a08aa9c8.jpg"")",2017.0,500000.0
Used Renault Logan 2021 for sale Alexandria,Renault,Logan,A/T /  E3,2021,"99,000 Km",automatic,Alexandria,"575,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/29/6893973/full_up_1edbec3ab8360722f0487785760c65b9.jpg"")",2021.0,575000.0
Used Renault Logan 2016 for sale Maadi,Renault,Logan,2016,"235,000 Km",automatic,Maadi,Gold,"410,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6900855/full_up_4981c1329fe2bedb6070b29dc7515fad.jpg"")",235000.0,410000.0
Used Renault Logan 2014 for sale El Salam City,Renault,Logan,2014,"150,000 Km",manual,El Salam City,Silver,"350,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/01/6896559/full_up_d765bb2cfef2b0ae986f04a58c2c9ae1.jpg"")",150000.0,350000.0
Used Renault Logan  for sale Tagamo3 - New Cairo,Renault,Logan,Automatic,2017,"92,000 Km",automatic,Tagamo3 - New Cairo,"480,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6900862/full_up_b893582468b67444f38eee78e70a079b.jpg"")",2017.0,480000.0
Used Renault Logan 2020 for sale Tagamo3 - New Cairo,Renault,Logan,M/T /  E2,2020,"270,000 Km",manual,Tagamo3 - New Cairo,"510,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/06/6900525/full_up_5a53768757d49de11cfcd806cbecd343.jpg"")",2020.0,510000.0
Used Renault Logan 2015 for sale Sheikh Zayed City,Renault,Logan,2015,"274,000 Km",automatic,Sheikh Zayed City,Black,"420,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6901072/full_up_83a38b9ccc4b80f69e30887cea9256d7.jpg"")",274000.0,420000.0
Used Renault Logan 2018 for sale Nasr city,Renault,Logan,M/T F/L,2018,"170,000 Km",automatic,Nasr city,"500,000 EGP","=IMAGE(""None"")",2018.0,500000.0
Used Renault Logan 2015 for sale Alexandria,Renault,Logan,2015,"118,000 Km",automatic,Alexandria,Red,"460,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/04/6898836/full_up_c908989c6f64489354e874dc818ef7b6.jpg"")",118000.0,460000.0
Used Renault Logan 2012 for sale Tagamo3 - New Cairo,Renault,Logan,2012,"141,000 Km",automatic,Tagamo3 - New Cairo,Black,"370,000 EGP","=IMAGE(""None"")",141000.0,370000.0
Used Renault Logan 2016 for sale Cairo,Renault,Logan,2016,"200,000 Km",automatic,Cairo,Black,"400,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/08/6901574/full_up_1e4fa5a6d4e13969a35444d5485f8ae1.jpg"")",200000.0,400000.0
